#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-02_epo-020	0.28	6.69	0.00	1.37	0.969	0.971	0.981	0.788	0.807
batch-02_epo-040	0.27	6.97	0.00	1.03	0.977	0.982	0.993	0.823	0.840
batch-02_epo-060	0.28	7.07	0.00	0.93	0.996	0.981	0.995	0.828	0.845
batch-02_epo-080	0.27	6.52	0.00	0.82	0.998	0.993	0.995	0.842	0.858
batch-02_epo-100	0.27	6.67	0.00	0.96	0.995	0.999	0.995	0.838	0.854
batch-04_epo-020	0.28	4.88	0.00	0.93	0.995	0.999	0.995	0.822	0.839
batch-04_epo-040	0.28	4.88	0.00	1.69	0.992	0.981	0.994	0.837	0.853
batch-04_epo-060	0.30	4.79	0.00	0.85	0.997	1.000	0.995	0.841	0.856
batch-04_epo-080	0.29	5.00	0.00	0.80	0.995	1.000	0.995	0.843	0.859
batch-04_epo-100	0.27	4.79	0.00	1.00	0.997	0.988	0.995	0.856	0.870
batch-08_epo-020	1.21	4.30	0.00	0.42	0.993	0.999	0.995	0.823	0.840
batch-08_epo-040	1.20	4.29	0.00	0.37	0.995	0.991	0.995	0.833	0.850
batch-08_epo-060	1.20	4.30	0.00	0.36	0.998	1.000	0.995	0.853	0.867
batch-08_epo-080	1.20	4.29	0.00	0.36	0.994	1.000	0.995	0.856	0.870
batch-08_epo-100	1.20	4.30	0.00	0.36	0.998	1.000	0.995	0.856	0.870
batch-10_epo-020	0.22	3.89	0.00	0.50	0.998	0.993	0.995	0.827	0.844
batch-10_epo-040	0.23	3.82	0.00	0.33	0.997	0.999	0.995	0.833	0.849
batch-10_epo-060	0.22	3.82	0.00	0.33	0.997	1.000	0.995	0.845	0.860
batch-10_epo-080	0.22	3.82	0.00	0.32	0.997	1.000	0.995	0.848	0.863
batch-10_epo-100	0.22	3.83	0.00	0.32	0.998	1.000	0.995	0.846	0.861
batch-16_epo-020	0.22	3.83	0.00	0.50	0.991	0.979	0.995	0.818	0.836
batch-16_epo-040	0.22	3.82	0.00	0.33	0.994	0.999	0.995	0.834	0.850
batch-16_epo-060	0.22	3.84	0.00	0.33	0.997	1.000	0.995	0.846	0.861
batch-16_epo-080	0.22	3.83	0.00	0.32	0.997	1.000	0.995	0.843	0.859
batch-16_epo-100	0.22	3.83	0.00	0.33	0.998	1.000	0.995	0.847	0.861
batch-20_epo-020	0.22	3.83	0.00	0.62	0.995	0.992	0.995	0.823	0.840
batch-20_epo-040	0.22	3.81	0.00	0.33	0.984	0.999	0.995	0.844	0.859
batch-20_epo-060	0.22	3.83	0.00	0.33	0.997	1.000	0.995	0.847	0.862
batch-20_epo-080	0.22	3.83	0.00	0.32	0.997	1.000	0.995	0.847	0.862
batch-20_epo-100	0.22	3.83	0.00	0.33	0.997	1.000	0.995	0.855	0.869
batch-30_epo-020	0.22	3.86	0.00	1.02	0.993	0.994	0.995	0.800	0.820
batch-30_epo-040	0.22	3.82	0.00	0.34	0.997	1.000	0.995	0.835	0.851
batch-30_epo-060	0.22	3.82	0.00	0.33	0.988	0.989	0.995	0.841	0.856
batch-30_epo-080	0.22	3.82	0.00	0.33	0.997	1.000	0.995	0.843	0.858
batch-30_epo-100	0.22	3.83	0.00	0.33	0.996	1.000	0.995	0.843	0.858
